Macho_id Sigma_B Sigma_B_comp Eta_B Eta_B_comp stetson_L_B stetson_L_B_comp CuSum_B CuSum_B_comp B-R B-R_comp stetson_J stetson_J_comp stetson_K stetson_K_comp skew skew_comp kurt kurt_comp std std_comp beyond1_std beyond1_std_comp max_slope max_slope_comp amplitude amplitude_comp med_abs_dev med_abs_dev_comp class
1.3567.1310 -0.00821437064216 0.686491244527 1.42752908038 0.860469200965 0.894296870319 0.812413605458 0.238993503709 0.81201192595 -0.366976 0.714195866025 0.91498203867 0.808688133098 0.779959466256 0.853080869491 -0.465155582743 0.809005857306 3.89820259606e+15 0.762365574053 0.0505550812573 0.683255222318 0.28 0.774325931974 3.44262295156 0.498180886307 0.487 0.826073900575 0.028 0.680013181743 2
1.4176.155 -0.00611427535248 0.785517938062 1.72756830404 0.741587001903 0.168614125625 0.8760109282 0.138269718592 0.914750693733 -0.3346625 0.88934640879 0.21475655761 0.852313361 0.626542321903 0.567671513326 4.46829120597 0.331364520012 3.79051743623e+16 0.87667473735 0.0441703149069 0.784843224397 0.133333333333 0.559998822921 6.36223704742 -0.05 0.565 0.2125 0.0175 0.551179025012 2
1.4410.291 -0.0129299816415 0.800264044621 1.947517944 0.756372766828 0.737204524563 0.698395072414 0.131520225986 0.878647401837 -0.314573913043 0.881988305112 0.847154283005 0.697626986408 0.69442983693 0.577966786984 5.21284317902 0.758125932563 3.49939534579e+15 0.871135226194 0.0832460888911 0.799306200468 0.0826086956522 0.7041610954 4.20968226858 1 1.258 0.883040935673 0.0295 0.735863199288 2
1.4413.373 -0.0282996250905 0.822514821138 2.03517917407 0.927063736125 0.489390775186 0.506945337491 0.10133156289 0.889685090239 -0.395395652174 0.787408053272 1.34967513952 0.529550228896 0.289353954269 0.915930032077 -5.37021766358 0.62633693111 1.66583778841e+14 0.887863372989 0.18244977467 0.82612190136 0.0260869565217 0.849551818851 8.98362789376 0.649122807018 3.017 0.864389584632 0.034 0.618496181094 2
1.4530.136 -0.0057987855484 0.591360555068 1.29661742102 0.678124296076 0.445631757669 0.558527250418 0.241524175729 0.731507120117 -0.0614608695652 0.780046206149 0.559840337281 0.539797443848 0.635206359633 0.68771446761 -2.69955584241 0.6297313914 2.85942922654e+16 0.766359890757 0.0392219265407 0.588062560676 0.269565217391 0.743676556575 7.45282629372 0.649122807018 0.424 0.548872180451 0.0235 0.81227617745 2
1.4538.531 -0.00992422343481 0.664310580621 1.48417817114 0.604969529413 0.0367550578366 0.49257634594 0.161427199324 0.638346667786 -0.313854545455 0.651124039409 0.0426339897388 0.47426062026 0.687961326944 0.677539990404 1.56820522714 0.646442407062 8.45719871898e+13 0.759169956501 0.0603485711656 0.666781295522 0.181818181818 0.567756989047 0.867889225774 -0.142857142857 0.442 0.504584231498 0.0265 0.690084166974 2
1.4653.105 -0.00377514846348 0.936433270917 1.52464546093 0.821911191374 0.781036510442 0.936367791267 0.216398661414 0.788826663322 -0.3963 0.75568944495 0.787972870045 0.937667774425 0.790975373679 0.892193011173 0.335570349167 0.853072678942 1.47527744573e+16 0.844373497244 0.0282593142574 0.936267544513 0.341666666667 0.88879935997 5.63266948473 -0.05 0.149 0.895747599451 0.0195 0.922285433026 2
1.4659.335 -0.00309334387283 0.784441341961 1.55911407404 0.821686694402 0.300678765046 0.778311446085 0.184257810737 0.542656859731 -0.321808333333 0.813659374524 0.306277294203 0.773744374033 0.783413132634 0.727462239847 0.120849186738 0.77899697512 2.83352695163e+15 0.792230849526 0.0213883590956 0.782046032472 0.316666666667 0.812644425618 1.31147541012 0.381475285289 0.105 0.859375 0.014 0.788644470868 2
10.4279.1493 -0.00342778075382 0.866906040399 0.978050852812 0.664328318559 1.06032552537 0.661232574123 0.300054818523 0.705198053089 -0.200477777778 0.740092640915 1.27249852861 0.716731395055 0.664943613079 0.564835867395 0.066404927459 0.569066565497 8.0499619565e+15 0.769823241451 0.0285420067867 0.866273876967 0.272222222222 0.764723928841 0.559841710509 0.63576886271 0.221 0.61038961039 0.015 0.740067624683 2
11.8751.968 -0.0264859838744 0.86279540459 1.32645615211 0.656745645289 0.377185158829 0.778450978735 0.312762466835 0.837498488902 0.365686363636 0.820262767567 0.39589118118 0.738602843991 0.760294169344 0.788028641782 0.307082976014 0.857730923246 3.84558180675e+13 0.641918355701 0.135096094822 0.86396583563 0.254545454545 0.925084371509 22.3335420948 0.718518518519 1.052 0.82263020565 0.065 0.785771613931 2
